878	10	65535	65535	1	65535	©ÊJ0.00
45296	8	65535	65535	1	65535	2.59	0.00
45305	9	65535	65535	1	65535	2.59	0.00
45314	9	65535	65535	1	65535	2.59	0.00
45323	9	65535	65535	1	65535	2.59	0.00
45331	8	65535	65535	1	65535	2.59	0.00
45339	8	65535	65535	1	65535	2.59	0.00
45349	10	65535	65535	1	65535	2.59	0.00
45357	8	65535	65535	1	65535	2.59	0.00
45366	9	65535	65535	1	65535	2.59	0.00
45374	8	65535	65535	1	65535	2.59	0.00
45383	9	65535	65535	1	65535	2.59	0.00
45391	8	65535	65535	1	65535	2.59	0.00
45399	8	65535	65535	1	65535	2.59	0.00
45408	9	65535	65535	1	65535	2.59	0.00
45417	9	65535	65535	1	65535	2.59	0.00
45426	9	65535	65535	1	65535	2.59	0.00
45434	8	65535	65535	1	65535	2.59	0.00
45442	8	65535	65535	1	65535	2.59	0.00
45452	10	65535	65535	1	65535	2.59	0.00
45460	8	65535	65535	1	65535	2.59	0.00
45469	9	65535	65535	1	65535	2.59	0.00
45477	8	65535	65535	1	65535	2.59	0.00
45487	10	65535	65535	1	65535	2.59	0.00
45495	8	65535	65535	1	65535	2.59	0.00
45503	8	65535	65535	1	65535	2.59	0.00
45512	9	65535	65535	1	65535	2.59	0.00
45521	9	65535	65535	1	65535	2.59	0.00
45530	9	65535	65535	1	65535	2.59	0.00
45538	8	65535	65535	1	65535	2.59	0.00
45546	8	65535	65535	1	65535	2.59	0.00
45555	9	65535	65535	1	65535	2.59	0.00
45563	8	65535	65535	1	65535	2.59	0.00
45572	9	65535	65535	1	65535	2.59	0.00
45580	8	65535	65535	1	65535	2.59	0.00
45590	10	65535	65535	1	65535	2.59	0.00
45598	8	65535	65535	1	65535	2.59	0.00
45606	8	65535	65535	1	65535	2.59	0.00
45615	9	65535	65535	1	65535	2.59	0.00
45624	9	65535	65535	1	65535	2.59	0.00
45633	9	65535	65535	1	65535	2.59	0.00
45641	8	65535	65535	1	65535	2.59	0.00
45650	9	65535	65535	1	65535	2.59	0.00
45658	8	65535	65535	1	65535	2.59	0.00
45666	8	65535	65535	1	65535	2.59	0.00
45675	9	65535	65535	1	65535	2.59	0.00
45683	8	65535	65535	1	65535	2.59	0.00
45692	9	65535	65535	1	65535	2.59	0.00
45700	8	65535	65535	1	65535	2.59	0.00
45708	8	65535	65535	1	65535	2.59	0.00
45716	8	65535	65535	1	65535	2.59	0.00
45724	8	65535	65535	1	65535	2.59	0.00
45733	9	65535	65535	1	65535	2.59	0.00
45741	8	65535	65535	1	65535	2.59	0.00
45751	10	65535	65535	1	65535	2.59	0.00
45759	8	65535	65535	1	65535	2.59	0.00
45767	8	65535	65535	1	65535	2.59	0.00
45775	8	65535	65535	1	65535	2.59	0.00
45784	9	65535	65535	1	65535	2.59	0.00
45793	9	65535	65535	1	65535	2.59	0.00
45801	8	65535	65535	1	65535	2.59	0.00
45810	9	65535	65535	1	65535	2.59	0.00
45819	9	65535	65535	1	65535	2.59	0.00
45827	8	65535	65535	1	65535	2.59	0.00
45836	9	65535	65535	1	65535	2.59	0.00
45844	8	65535	65535	1	65535	2.59	0.00
45854	10	65535	65535	1	65535	2.59	0.00
45862	8	65535	65535	1	65535	2.59	0.00
45871	9	65535	65535	1	65535	2.59	0.00
45879	8	65535	65535	1	65535	2.59	0.00
45888	9	65535	65535	1	65535	2.59	0.00
45897	9	65535	65535	1	65535	2.59	0.00
45905	8	65535	65535	1	65535	2.59	0.00
45914	9	65535	65535	1	65535	2.59	0.00
45923	9	65535	65535	1	65535	2.59	0.00
45931	8	65535	65535	1	65535	2.59	0.00
45939	8	65535	65535	1	65535	2.59	0.00
45947	8	65535	65535	1	65535	2.59	0.00
45957	10	65535	65535	1	65535	2.59	0.00
45965	8	65535	65535	1	65535	2.59	0.00
45974	9	65535	65535	1	65535	2.59	0.00
45982	8	65535	65535	1	65535	2.59	0.00
45991	9	65535	65535	1	65535	2.59	0.00
46000	9	65535	65535	1	65535	2.59	0.00
46008	8	65535	65535	1	65535	2.59	0.00
46017	9	65535	65535	1	65535	2.59	0.00
46026	9	65535	65535	1	65535	2.59	0.00
46035	9	65535	65535	1	65535	2.59	0.00
46043	8	65535	65535	1	65535	2.59	0.00
46051	8	65535	65535	1	65535	2.59	0.00
Start sampling!
10	10	65535	65535	1	65535	2.59	0.00
18	8	65535	65535	1	65535	2.59	0.00
27	9	65535	65535	1	65535	2.59	0.00
35	8	65535	65535	1	65535	2.59	0.00
45	10	65535	65535	1	65535	2.59	0.00
53	8	65535	65535	1	65535	2.59	0.00
61	8	65535	65535	1	65535	2.59	0.00
70	9	65535	65535	1	65535	2.59	0.00
79	9	65535	65535	1	65535	2.59	0.00
88	9	65535	65535	1	65535	2.59	0.00
96	8	65535	65535	1	65535	2.59	0.00
105	9	65535	65535	1	65535	2.59	0.00
115	10	65535	65535	1	65535	2.59	0.00
123	8	65535	65535	1	65535	2.59	0.00
132	9	65535	65535	1	65535	2.59	0.00
140	8	65535	65535	1	65535	2.59	0.00
150	10	65535	65535	1	65535	2.59	0.00
158	8	65535	65535	1	65535	2.59	0.00
166	8	65535	65535	1	65535	2.59	0.00
175	9	65535	65535	1	65535	2.59	0.00
183	8	65535	65535	1	65535	2.59	0.00
192	9	65535	65535	1	65535	2.59	0.00
200	8	65535	65535	1	65535	2.59	0.00
209	9	65535	65535	1	65535	2.59	0.00
217	8	65535	65535	1	65535	2.59	0.00
225	8	65535	65535	1	65535	2.59	0.00
234	9	65535	65535	1	65535	2.59	0.00
242	8	65535	65535	1	65535	2.59	0.00
251	9	65535	65535	1	65535	2.59	0.00
259	8	65535	65535	1	65535	2.59	0.00
268	9	65535	65535	1	65535	2.59	0.00
278	10	65535	65535	1	65535	2.59	0.00
286	8	65535	65535	1	65535	2.59	0.00
295	9	65535	65535	1	65535	2.59	0.00
303	8	65535	65535	1	65535	2.59	0.00
313	10	65535	65535	1	65535	2.59	0.00
321	8	65535	65535	1	65535	2.59	0.00
329	8	65535	65535	1	65535	2.59	0.00
338	9	65535	65535	1	65535	2.59	0.00
347	9	65535	65535	1	65535	2.59	0.00
356	9	65535	65535	1	65535	2.59	0.00
364	8	65535	65535	1	65535	2.59	0.00
373	9	65535	65535	1	65535	2.59	0.00
382	9	65535	65535	1	65535	2.59	0.00
390	8	65535	65535	1	65535	2.59	0.00
399	9	65535	65535	1	65535	2.59	0.00
407	8	65535	65535	1	65535	2.59	0.00
417	10	65535	65535	1	65535	2.59	0.00
425	8	65535	65535	1	65535	2.59	0.00
434	9	65535	65535	1	65535	2.59	0.00
442	8	65535	65535	1	65535	2.59	0.00
451	9	65535	65535	1	65535	2.59	0.00
460	9	65535	65535	1	65535	2.59	0.00
468	8	65535	65535	1	65535	2.59	0.00
477	9	65535	65535	1	65535	2.59	0.00
486	9	65535	65535	1	65535	2.59	0.00
495	9	65535	65535	1	65535	2.59	0.00
504	9	65535	65535	1	65535	2.59	0.00
512	8	65535	65535	1	65535	2.59	0.00
522	10	65535	65535	1	65535	2.59	0.00
530	8	65535	65535	1	65535	2.59	0.00
539	9	65535	65535	1	65535	2.59	0.00
547	8	65535	65535	1	65535	2.59	0.00
556	9	65535	65535	1	65535	2.59	0.00
565	9	65535	65535	1	65535	2.59	0.00
573	8	65535	65535	1	65535	2.59	0.00
582	9	65535	65535	1	65535	2.59	0.00
591	9	65535	65535	1	65535	2.59	0.00
600	9	65535	65535	1	65535	2.59	0.00
608	8	65535	65535	1	65535	2.59	0.00
616	8	65535	65535	1	65535	2.59	0.00
626	10	65535	65535	1	65535	2.59	0.00
634	8	65535	65535	1	65535	2.59	0.00
643	9	65535	65535	1	65535	2.59	0.00
651	8	65535	65535	1	65535	2.59	0.00
661	10	65535	65535	1	65535	2.59	0.00
670	9	65535	65535	1	65535	2.59	0.00
678	8	65535	65535	1	65535	2.59	0.00
687	9	65535	65535	1	65535	2.59	0.00
696	9	65535	65535	1	65535	2.59	0.00
705	9	65535	65535	1	65535	2.59	0.00
713	8	65535	65535	1	65535	2.59	0.00
721	8	65535	65535	1	65535	2.59	0.00
730	9	65535	65535	1	65535	2.59	0.00
738	8	65535	65535	1	65535	2.59	0.00
747	9	65535	65535	1	65535	2.59	0.00
755	8	65535	65535	1	65535	2.59	0.00
764	9	65535	65535	1	65535	2.59	0.00
772	8	65535	65535	1	65535	2.59	0.00
780	8	65535	65535	1	65535	2.59	0.00
789	9	65535	65535	1	65535	2.59	0.00
797	8	65535	65535	1	65535	2.59	0.00
806	9	65535	65535	1	65535	2.59	0.00
814	8	65535	65535	1	65535	2.59	0.00
824	10	65535	65535	1	65535	2.59	0.00
833	9	65535	65535	1	65535	2.59	0.00
841	8	65535	65535	1	65535	2.59	0.00
850	9	65535	65535	1	65535	2.59	0.00
859	9	65535	65535	1	65535	2.59	0.00
868	9	65535	65535	1	65535	2.59	0.00
876	8	65535	65535	1	65535	2.59	0.00
884	8	65535	65535	1	65535	2.59	0.00
894	10	65535	65535	1	65535	2.59	0.00
902	8	65535	65535	1	65535	2.59	0.00
911	9	65535	65535	1	65535	2.59	0.00
919	8	65535	65535	1	65535	2.59	0.00
929	10	65535	65535	1	65535	2.59	0.00
937	8	65535	65535	1	65535	2.59	0.00
945	8	65535	65535	1	65535	2.59	0.00
954	9	65535	65535	1	65535	2.59	0.00
963	9	65535	65535	1	65535	2.59	0.00
972	9	65535	65535	1	65535	2.59	0.00
980	8	65535	65535	1	65535	2.59	0.00
989	9	65535	65535	1	65535	2.59	0.00
998	9	65535	65535	1	65535	2.59	0.00
1006	8	65535	65535	1	65535	2.59	0.00
1015	9	65535	65535	1	65535	2.59	0.00
1023	8	65535	65535	1	65535	2.59	0.00
1033	10	65535	65535	1	65535	2.59	0.00
1041	8	65535	65535	1	65535	2.59	0.00
1049	8	65535	65535	1	65535	2.59	0.00
1058	9	65535	65535	1	65535	2.59	0.00
1067	9	65535	65535	1	65535	2.59	0.00
1076	9	65535	65535	1	65535	2.59	0.00
1084	8	65535	65535	1	65535	2.59	0.00
1093	9	65535	65535	1	65535	2.59	0.00
1102	9	65535	65535	1	65535	2.59	0.00
1110	8	65535	65535	1	65535	2.59	0.00
1119	9	65535	65535	1	65535	2.59	0.00
1127	8	65535	65535	1	65535	2.59	0.00
1137	10	65535	24913	1	65535	2.59	1.88
1145	8	14281	24913	21177	65535	1.96	4.33
1153	8	14025	24913	21177	14693	4.73	4.36
1161	8	14025	18062	21177	14693	4.73	5.29
1170	9	11509	18062	17027	11529	5.94	5.74
1178	8	11508	14890	2173	2	78.00	6.43
1186	8	9972	15147	7331	2	23.13	6.75
1195	9	10164	14695	7586	10075	9.61	6.82
1204	9	10164	14439	13604	10075	7.16	6.90
1212	8	9243	13927	13348	10720	7.05	7.32
1221	9	9243	13859	12480	10720	7.31	7.34
1229	8	8427	12879	12736	9704	7.56	7.96
1239	10	8427	12878	11704	9704	7.92	7.96
1247	8	8122	11436	11448	9069	8.27	8.67
1255	8	8078	11692	10302	8449	9.05	8.58
1263	8	7822	11256	10559	8449	8.93	8.89
1271	8	7692	11257	10862	8123	8.94	8.95
1280	9	7692	10596	10862	7867	9.06	9.28
1288	8	7429	11136	10349	7446	9.53	9.14
1297	9	7429	10881	9883	7446	9.79	9.27
1305	8	7137	10933	10138	8309	9.20	9.39
1313	8	7045	10932	10112	7829	9.46	9.44
1321	8	6789	10580	10112	7828	9.46	9.77
1329	8	6718	10064	9480	7510	9.99	10.11
1338	9	6374	9808	9158	7424	10.23	10.48
1346	8	6630	9706	8903	7169	10.56	10.38
1354	8	6705	9194	9413	6818	10.45	10.67
1362	8	6259	9195	8757	6272	11.29	10.98
1370	8	6515	9619	8990	6529	10.93	10.51
1379	9	6444	10033	8991	7496	10.29	10.30
1387	8	6060	9776	9013	6986	10.60	10.71
1397	10	6061	9491	8534	6987	10.93	10.91
1405	8	6184	9095	8535	6921	10.98	11.10
1413	8	5790	9092	8219	6535	11.50	11.40
1421	8	6440	8836	8327	6593	11.37	11.11
1430	9	6185	8570	8582	6337	11.37	11.50
1439	9	6035	9160	8389	6061	11.74	11.16
1447	8	5967	8904	8332	6965	11.09	11.41
1456	9	5967	9185	8236	6452	11.55	11.20
1465	9	5699	8916	8492	6570	11.26	11.61
1473	8	5793	8444	8018	6480	11.70	11.92
1481	8	5685	8444	7640	6410	12.07	12.01
1489	8	5685	8331	8077	5723	12.29	12.10
1499	10	5838	8157	8077	5978	12.07	12.12
1507	8	5760	8457	7989	5764	12.34	11.93
1515	8	5640	8696	7905	6588	11.71	11.83
1523	8	5168	8696	7799	6517	11.85	12.24
1532	9	5425	8493	7543	6260	12.29	12.19
1541	9	5523	8111	7640	6187	12.27	12.44
1549	8	5454	7991	7351	5910	12.79	12.62
1558	9	5594	8044	7759	5992	12.34	12.44
1567	9	5499	7789	7378	5267	13.42	12.77
1575	8	5499	8119	7592	5522	12.94	12.46
1583	8	5441	8433	7593	6354	12.16	12.23
1591	8	5263	8231	7807	6073	12.22	12.57
1601	10	5331	7776	7411	5959	12.69	12.94
1609	8	5267	7777	6806	5959	13.29	13.01
1618	9	5267	7721	7485	5294	13.28	13.06
1626	8	5415	7583	7485	5551	13.01	13.05
1635	9	5388	7947	7420	5392	13.24	12.72
1643	8	5574	8474	7414	7	22.86	12.08
1651	8	4846	8219	3184	5882	18.71	12.98
1660	9	5450	7987	7436	5823	12.79	12.63
1669	9	5195	7659	6693	5823	13.55	13.20
1677	8	5177	7566	6948	5598	13.52	13.31
1685	8	5292	7620	7346	5434	13.27	13.14
1693	8	5214	7697	7218	5241	13.62	13.14
1702	9	5158	7696	7197	5779	13.07	13.20
1710	8	4753	8012	7415	6032	12.62	13.29
1719	9	5008	7836	6788	5717	13.57	13.21
1727	8	5099	7528	7045	5716	13.29	13.44
1736	9	5098	7454	6833	5519	13.73	13.52
1744	8	5201	7454	7238	5338	13.49	13.41
1752	8	4853	7280	7065	5136	13.90	13.98
1761	9	5056	8048	7055	5660	13.34	12.95
1770	9	4912	7849	7537	5930	12.60	13.29
1779	9	4913	7695	6677	5360	14.09	13.46
1787	8	5003	7395	6932	5617	13.52	13.68
1795	8	5018	7358	6719	5434	13.96	13.71
1804	9	5155	7214	7136	5284	13.66	13.72
1812	8	4845	7226	7061	5115	13.93	14.05
1821	9	5004	8009	6994	6109	12.95	13.04
1829	8	5106	7752	7436	5346	13.27	13.19
1838	9	4850	7588	6825	5538	13.72	13.64
1846	8	4940	7286	6358	5601	14.19	13.88
1854	8	4944	7234	6614	5344	14.19	13.93
1862	8	5062	7070	7012	5190	13.90	13.98
1870	8	5015	7654	6933	5041	14.17	13.39
1879	9	4957	7681	6919	5797	13.34	13.42
1887	8	5059	7258	7117	5295	13.67	13.77
1895	8	4638	7514	7019	5487	13.57	13.96
1903	8	4882	7216	6292	5545	14.33	14.02
1911	8	4882	7141	6931	5131	14.06	14.11
1920	9	4995	6975	7099	4719	14.35	14.17
1929	9	4950	7308	6842	4975	14.36	13.84
1938	9	4902	7340	6832	5726	13.51	13.86
1946	8	4754	7437	7033	5482	13.56	13.92
1954	8	4840	7149	6688	5428	14.00	14.15
1963	9	4847	7094	6485	30582	4.58	14.21
1971	8	4706	6928	7133	4838	14.17	14.58
1980	9	4911	6929	6800	4937	14.45	14.33
1988	8	5109	7246	6780	5935	13.34	13.73
1998	10	4853	7523	6719	5182	14.25	13.71
2006	8	4708	7368	6974	5438	13.67	14.05
2014	8	4795	7077	6632	5377	14.13	14.29
2022	8	4796	7023	6430	5195	14.59	14.35
2031	9	4919	7117	6814	5048	14.30	14.09
2040	9	4865	7174	6732	4892	14.59	14.09
2048	8	5070	7207	6714	5630	13.74	13.82
2056	8	4669	7561	6910	5386	13.80	13.87
2065	9	4755	7305	6314	5588	14.25	14.07
2073	8	4761	7021	6629	5153	14.40	14.40
2082	9	4761	6976	6758	4750	14.74	14.45
2090	8	4883	6820	6684	5117	14.38	14.50
2100	10	4839	7139	6675	4860	14.71	14.16
2108	8	4783	7413	6674	5592	13.83	13.91
2116	8	4636	7257	6866	5356	13.88	14.26
2124	8	4722	6715	6525	5298	14.35	14.83
2133	9	4726	6920	6328	5118	14.82	14.57
2142	9	4847	7041	6711	4974	14.52	14.27
2150	8	4815	6850	6646	4837	14.77	14.54
2159	9	4763	7619	6642	5309	14.20	13.70
2168	9	4614	7380	7084	5586	13.39	14.14
2176	8	4698	7222	6240	5272	14.74	14.23
2184	8	4699	6937	6556	4840	14.89	14.58
2192	8	4703	6893	6680	4950	14.59	14.63
2202	10	4827	6748	6359	5064	14.85	14.66
2210	8	4787	7066	6614	4809	14.85	14.31
2218	8	4735	7340	6608	5534	13.97	14.05
2226	8	4588	7184	6796	5302	14.02	14.41
2235	9	4675	6902	6460	5244	14.49	14.65
2244	9	4683	6858	6268	5065	14.97	14.70
2252	8	4804	6721	6650	4926	14.66	14.72
2261	9	4773	6791	6585	4794	14.91	14.67
2270	9	4723	7559	6583	5262	14.32	13.81
2278	8	4320	7322	7032	5540	13.49	14.57
2286	8	4919	7166	6189	5233	14.85	14.04
2294	8	4663	6884	6507	4797	15.01	14.69
2304	10	4671	6840	6377	4919	15.02	14.74
2312	8	4794	6703	6568	5034	14.62	14.76
2321	9	4759	7021	6564	4778	14.96	14.40
2329	8	4705	7291	6564	5500	14.06	14.14
2337	8	4557	6883	6751	5267	14.12	14.83
2345	8	4643	7114	6418	5213	14.59	14.43
2353	8	4649	6815	6225	5033	15.07	14.80
2362	9	4775	6680	6605	4898	14.75	14.81
2370	8	4744	6749	6541	4762	15.01	14.76
2378	8	4694	7532	6541	5483	14.11	13.88
2386	8	4296	6863	6989	5511	13.57	15.20
2394	8	4892	7119	6147	5199	14.95	14.12
2402	8	4637	6841	6466	4767	15.10	14.78
2410	8	4637	6794	6334	4884	15.12	14.84
2419	9	4762	6661	6521	5006	14.72	14.85
2427	8	4729	6978	6519	5212	14.46	14.49
2435	8	4680	7256	6969	5490	13.62	14.21
2443	8	4535	7106	6713	5234	14.20	14.57
2451	8	4622	6830	6387	5183	14.66	14.81
2461	10	4631	6788	6194	5007	15.15	14.86
2469	8	4758	6656	6580	4882	14.80	14.86
2478	9	4728	6724	6520	4746	15.06	14.81
2486	8	4678	7508	6518	5464	14.16	13.92
2495	9	4274	6841	6710	30582	4.55	15.26
2503	8	4876	7074	6381	5182	14.67	14.20
2511	8	4622	6771	6186	5003	15.16	14.89
2520	9	4744	6259	6308	4865	15.18	15.42
2529	9	4710	6631	6500	4985	14.77	14.96
2538	9	4661	6951	6495	5190	14.52	14.61
2546	8	4661	7222	6945	5473	13.66	14.28
2554	8	4517	7073	6363	5158	14.72	14.64
2563	9	4600	6798	6168	4733	15.56	14.88
2571	8	4613	6761	6296	5116	14.87	14.92
2580	9	4737	6633	6496	4723	15.12	14.92
2588	8	4711	6958	6496	4722	15.12	14.54
2597	9	4660	7486	6492	5443	14.21	13.97
2605	8	4518	6822	6688	5215	14.25	14.96
2613	8	4602	7056	6357	5163	14.73	14.55
2622	9	4866	6752	6169	4985	15.21	14.60
2631	9	4735	6360	6541	4857	14.88	15.29
2640	9	4698	6934	6484	4718	15.14	14.58
2648	8	4647	7459	6483	5428	14.24	14.01
2656	8	4247	7203	6925	5456	13.70	14.82
2665	9	4588	7048	6340	5149	14.77	14.58
2673	8	4596	6776	6150	4714	15.62	14.92
2682	9	5108	6739	6271	5096	14.92	14.32
2690	8	4723	6608	6469	4705	15.18	14.97
2700	10	4697	6935	6477	5171	14.56	14.58
2708	8	4649	7210	6925	5457	13.70	14.31
2716	8	4507	7062	6342	5148	14.76	14.66
2724	8	4593	6784	6153	4714	15.61	14.91
2733	9	4601	6738	6153	4971	15.25	14.96
2742	9	4718	6342	6528	4841	14.92	15.34
2750	8	4718	6919	6468	4702	15.19	14.58
2758	8	4634	7442	6465	5415	14.28	14.05
2767	9	4237	6778	6655	5189	14.32	15.40
2775	8	4577	7016	6327	5136	14.80	14.63
2784	9	4585	6725	6138	4962	15.28	15.00
2792	8	4967	6341	6518	4832	14.95	15.00
2802	10	4687	6918	6457	4700	15.21	14.62
2810	8	4641	6918	6462	5164	14.59	14.68
2818	8	4247	7197	6916	5446	13.72	14.82
2826	8	4502	7050	6330	5141	14.79	14.69
2835	9	4586	6768	5887	4709	16.01	14.94
2844	9	4594	6728	6518	5091	14.61	14.98
2852	8	4713	6600	6460	4696	15.21	15.00
2861	9	4686	6919	6458	5160	14.60	14.62
2870	9	4637	7187	6651	5442	14.03	14.35
2878	8	4495	7039	6650	5187	14.33	14.71
2886	8	4578	7021	6322	5138	14.80	14.63
2894	8	4590	6723	6136	4957	15.29	15.00
2904	10	4713	6333	6510	4833	14.96	15.36
2912	8	4681	7165	6457	4694	15.21	14.32
2920	8	4631	7183	6454	5409	14.30	14.36
2928	8	4233	6774	6642	5181	14.35	15.41
2936	8	4573	7011	6316	5128	14.82	14.64
2944	8	4582	6712	6125	4955	15.31	15.02
2952	8	4960	6330	6500	4819	14.99	15.03
2961	9	4679	6587	6446	4685	15.24	15.06
2969	8	4633	6912	6450	5151	14.62	14.69
2977	8	4632	7183	6644	5436	14.04	14.36
2985	8	4493	7037	6573	5132	14.49	14.71
2993	8	27498	6762	5877	4703	16.03	4.95
3000	7	4588	25956	6504	5084	14.64	5.55
3009	9	4705	6580	6449	1	26.30	15.03
3018	9	4674	6897	3179	5141	20.39	14.66
3027	9	4621	7163	6381	5426	14.37	14.40
3035	8	4481	7015	6637	5170	14.37	14.76
3043	8	4565	6999	6307	5119	14.85	14.67
3051	8	4574	6704	6117	4949	15.33	15.04
3061	10	4952	6323	6497	4824	14.99	15.05
3069	8	4674	7158	6441	4688	15.24	14.34
3077	8	4631	7181	6445	5408	14.31	14.36
3085	8	4233	6778	6639	5182	14.35	15.41
3094	9	4579	7018	6321	5129	14.82	14.63
3102	8	4588	6762	6132	4955	15.30	14.95
3110	8	4969	6725	6517	4828	14.95	14.51
3119	9	4684	6591	6461	4693	15.21	15.05
3128	9	4685	6912	6456	5149	14.62	14.63
3136	8	4632	7178	6648	5431	14.04	14.36
3144	8	4492	7033	6577	5127	14.49	14.72
3152	8	4575	6757	5879	4697	16.04	14.97
3162	10	4588	6719	6513	5082	14.63	15.00
3170	8	4706	6591	6459	4690	15.22	15.02
3179	9	4686	6918	6463	5158	14.60	14.62
3187	8	4637	7452	6919	5414	13.76	14.03
3196	9	4501	6794	6662	5187	14.32	15.02
3204	8	4585	7033	6335	5143	14.78	14.60
3212	8	4596	6734	6149	4964	15.27	14.97
3221	9	4975	6350	6530	4834	14.93	14.98
3230	9	4696	6932	6467	4702	15.19	14.59
3239	9	4651	7467	6473	5423	14.26	14.00
3247	8	4252	6699	6671	5196	14.30	15.49
3255	8	4597	7067	24952	5151	5.64	14.54
3264	9	4602	6788	6158	4971	15.24	14.89
3272	8	5115	6742	6278	4841	15.26	14.31
3281	9	4721	6610	6480	4702	15.17	14.97
3289	8	4694	6931	6473	5165	14.58	14.59
3298	9	4643	7198	6923	5445	13.72	14.33
3306	8	4502	7047	6339	5140	14.78	14.69
3314	8	4583	6773	6146	4711	15.63	14.94
3323	9	4595	6737	6272	5094	14.93	14.97
3332	9	4720	6351	6468	4702	15.19	15.32
3341	9	4693	6932	6475	5214	14.51	14.59
3349	8	4645	7460	6475	5421	14.26	14.01
3357	8	4251	6802	6669	5195	14.30	15.35
3366	9	4594	7039	6341	5147	14.77	14.58
3374	8	4600	6741	6152	4971	15.25	14.96
3383	9	4976	6352	6534	4837	14.92	14.98
3391	8	4693	6931	6473	4705	15.18	14.59
3401	10	4645	6931	6473	5424	14.26	14.66
3409	8	4250	7202	6672	5195	14.30	14.81
3417	8	4506	7053	6344	5145	14.77	14.68
3425	8	4589	6779	6156	4713	15.61	14.92
3433	8	4600	6738	6274	5095	14.92	14.96
3442	9	4720	6611	6475	4702	15.18	14.97
3450	8	4695	6934	6475	5166	14.57	14.59
3458	8	4649	7209	6929	5448	13.71	14.31
3466	8	4509	7059	6346	5149	14.76	14.67
3474	8	4596	7042	24952	4714	5.72	14.58
3483	9	4605	6747	6154	5099	15.08	14.94
3491	8	4727	6358	6154	4707	15.62	15.30
3500	9	4698	6938	25442	4707	5.63	14.58
3508	8	4651	7469	6482	5430	14.24	14.00
3516	8	4257	6808	6677	5200	14.28	15.33
3524	8	4599	7044	6351	5152	14.75	14.57
3532	8	4605	6788	6161	4974	15.24	14.89
3541	9	4984	6745	6537	4844	14.91	14.46
3549	8	4699	6612	6481	4708	15.16	15.00
3559	10	4698	6936	6481	5430	14.24	14.58
3567	8	4648	7206	6927	5458	13.70	14.31
3575	8	4510	7055	6345	5146	14.76	14.67
3583	8	4595	6783	6157	4717	15.60	14.91
3592	9	4603	6741	6281	5099	14.91	14.95
3601	9	4724	6609	6474	4704	15.18	14.97
3609	8	4695	6931	6477	5165	14.57	14.59
3617	8	4643	7457	6927	5451	13.71	14.02
3626	9	4505	6796	6342	5144	14.77	15.01
3634	8	4589	7030	6342	4633	15.46	14.60
3642	8	4596	6737	6148	4971	15.26	14.97
3650	8	4975	6356	6528	4842	14.92	14.97
3660	10	4697	6941	6473	4711	15.17	14.58
3668	8	4657	7475	6480	5436	14.24	13.98
3676	8	4265	7218	6682	5205	14.27	14.77
3684	8	4606	7074	6357	5160	14.73	14.52
3693	9	4873	6798	6163	4990	15.21	14.54
3702	9	4616	6761	6548	4855	14.88	14.91
